date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:07:12	84290/84290	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:30%20GMT	http://laravel.spruko.com/spruha/ltr/icons01	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons01.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	120941/120941	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:31%20GMT	http://laravel.spruko.com/spruha/ltr/icons02	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons02.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	83354/83354	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:32%20GMT	http://laravel.spruko.com/spruha/ltr/icons03	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons03.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	93408/93408	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:33%20GMT	http://laravel.spruko.com/spruha/ltr/icons04	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons04.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	97149/97149	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:33%20GMT	http://laravel.spruko.com/spruha/ltr/icons05	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons05.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	108442/108442	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:34%20GMT	http://laravel.spruko.com/spruha/ltr/icons06	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons06.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	6609/6609	------	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2014:41:26%20GMT	http://laravel.spruko.com/spruha/ltr/assets/plugins/web-fonts/fonts/Simple-Line-Icons.woff2?-i3a2kk	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/plugins/web-fonts/fonts/Simple-Line-Icons.124c82.delayed	(from http://laravel.spruko.com/spruha/ltr/assets/plugins/web-fonts/icons.css)
08:07:13	84629/84629	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:35%20GMT	http://laravel.spruko.com/spruha/ltr/icons07	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons07.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	86740/86740	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:36%20GMT	http://laravel.spruko.com/spruha/ltr/icons08	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons08.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	89378/89378	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:37%20GMT	http://laravel.spruko.com/spruha/ltr/icons09	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons09.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	81172/81172	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:38%20GMT	http://laravel.spruko.com/spruha/ltr/icons10	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons10.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	136458/136458	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:39%20GMT	http://laravel.spruko.com/spruha/ltr/icons11	C:/acs/acs/laravel.spruko.com/spruha/ltr/icons11.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	62435/62435	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:40%20GMT	http://laravel.spruko.com/spruha/ltr/mapmapel	C:/acs/acs/laravel.spruko.com/spruha/ltr/mapmapel.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:13	60915/60915	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:40%20GMT	http://laravel.spruko.com/spruha/ltr/mapvector	C:/acs/acs/laravel.spruko.com/spruha/ltr/mapvector.html	(from http://laravel.spruko.com/spruha/ltr/index)
